"Date","ForecastVol","RealizedVol"
2023-09-07,0.1997783138224,0.149478536218161
2023-10-09,0.197204536247352,0.13523430931447
2023-11-07,0.184392294834219,0.169048887165091
2023-12-06,0.20334524481764,0.15601811859034
2024-01-04,0.184448095796134,0.176215682335018
2024-02-02,0.191954725052623,0.224885942131613
2024-03-01,0.184197598654349,0.217617299600864
2024-04-02,0.182803035453611,0.17349907936542
2024-05-03,0.181252083165144,0.196600592194974
2024-05-31,0.180257089145436,0.21336763355814
2024-07-01,0.177082814112884,0.256832444252593
2024-07-30,0.189744016443516,0.134316354811374
2024-08-28,0.184875721253031,0.156466367622279
2024-09-25,0.181317552704497,0.177557793202771
2024-10-24,0.183489361076091,0.20307390620371
2024-11-25,0.189728767692619,0.142092387474535
2024-12-23,0.186438042738283,0.337294111568876
2025-01-21,0.195997892513751,0.232694926793458
2025-02-17,0.195293507457442,0.16495846142879
2025-03-18,0.206298448427008,0.133532514658828
2025-04-21,0.195615375737603,0.187691755479324
2025-05-20,0.200751780597714,0.205730078528944
2025-06-17,0.199924604932146,0.0889958984706311
2025-07-15,0.200825888529972,0.0963018932399236
2025-08-12,0.194496083968948,0.16968017803696
2025-09-11,0.195648618275569,0.104797502583468
2025-10-08,0.195213417788867,0.140485256716044
2025-11-07,0.198588950517011,0.0799522212977915
2025-12-04,0.200060983628518,0.389180096400335
2026-01-02,0.248000399816954,0.212875776189932
2026-02-02,0.230442583018925,0.258200298093575
2026-03-02,0.254393555959932,0.217860691858167
2026-04-02,0.227680900001372,0.202300899688729
2026-05-05,0.221216350957513,0.211084203194475
2026-06-03,0.249509216505452,0.11440702693811
2026-07-02,0.223135545280866,0.143504416268227
2026-07-30,0.209979990439718,0.167987245684208
